time,level,closest_distance,message
13.100,warning,3.480,"Intrusion proche — 1 intrus, le plus proche a 3.48m"
13.200,warning,3.560,"Intrusion proche — 1 intrus, le plus proche a 3.56m"
13.300,warning,3.640,"Intrusion proche — 1 intrus, le plus proche a 3.64m"
13.400,warning,3.720,"Intrusion proche — 1 intrus, le plus proche a 3.72m"
13.500,warning,3.800,"Intrusion proche — 1 intrus, le plus proche a 3.80m"
13.600,warning,3.880,"Intrusion proche — 1 intrus, le plus proche a 3.88m"
13.700,warning,3.960,"Intrusion proche — 1 intrus, le plus proche a 3.96m"
13.800,info,4.040,"Intrusion detectee — 1 intrus, le plus proche a 4.04m"
13.900,info,4.120,"Intrusion detectee — 1 intrus, le plus proche a 4.12m"
14.000,info,4.200,"Intrusion detectee — 1 intrus, le plus proche a 4.20m"
14.100,info,4.280,"Intrusion detectee — 1 intrus, le plus proche a 4.28m"
14.200,info,4.360,"Intrusion detectee — 1 intrus, le plus proche a 4.36m"
14.300,info,4.440,"Intrusion detectee — 1 intrus, le plus proche a 4.44m"
14.400,info,4.520,"Intrusion detectee — 1 intrus, le plus proche a 4.52m"
14.500,info,4.600,"Intrusion detectee — 1 intrus, le plus proche a 4.60m"
14.600,info,4.680,"Intrusion detectee — 1 intrus, le plus proche a 4.68m"
14.700,info,4.760,"Intrusion detectee — 1 intrus, le plus proche a 4.76m"
14.800,info,4.840,"Intrusion detectee — 1 intrus, le plus proche a 4.84m"
14.900,info,4.920,"Intrusion detectee — 1 intrus, le plus proche a 4.92m"
15.000,info,5.000,"Intrusion detectee — 1 intrus, le plus proche a 5.00m"
15.100,info,5.167,"Intrusion detectee — 1 intrus, le plus proche a 5.17m"
15.200,info,5.333,"Intrusion detectee — 1 intrus, le plus proche a 5.33m"
15.300,info,5.500,"Intrusion detectee — 1 intrus, le plus proche a 5.50m"
15.400,info,5.667,"Intrusion detectee — 1 intrus, le plus proche a 5.67m"
15.500,info,5.833,"Intrusion detectee — 1 intrus, le plus proche a 5.83m"
15.600,info,6.000,"Intrusion detectee — 1 intrus, le plus proche a 6.00m"
15.700,info,6.167,"Intrusion detectee — 1 intrus, le plus proche a 6.17m"
15.800,info,6.333,"Intrusion detectee — 1 intrus, le plus proche a 6.33m"
15.900,info,6.500,"Intrusion detectee — 1 intrus, le plus proche a 6.50m"
16.000,info,6.667,"Intrusion detectee — 1 intrus, le plus proche a 6.67m"
16.100,info,6.833,"Intrusion detectee — 1 intrus, le plus proche a 6.83m"
16.200,info,7.000,"Intrusion detectee — 1 intrus, le plus proche a 7.00m"
16.300,info,7.167,"Intrusion detectee — 1 intrus, le plus proche a 7.17m"
16.400,info,7.333,"Intrusion detectee — 1 intrus, le plus proche a 7.33m"
16.500,info,7.500,"Intrusion detectee — 1 intrus, le plus proche a 7.50m"
16.600,info,7.667,"Intrusion detectee — 1 intrus, le plus proche a 7.67m"
16.700,info,7.833,"Intrusion detectee — 1 intrus, le plus proche a 7.83m"
16.800,info,8.000,"Intrusion detectee — 1 intrus, le plus proche a 8.00m"
16.900,info,8.167,"Intrusion detectee — 1 intrus, le plus proche a 8.17m"
17.000,info,8.333,"Intrusion detectee — 1 intrus, le plus proche a 8.33m"
17.100,info,8.500,"Intrusion detectee — 1 intrus, le plus proche a 8.50m"
17.200,info,8.667,"Intrusion detectee — 1 intrus, le plus proche a 8.67m"
17.300,info,8.833,"Intrusion detectee — 1 intrus, le plus proche a 8.83m"
17.400,info,9.000,"Intrusion detectee — 1 intrus, le plus proche a 9.00m"
17.500,info,9.167,"Intrusion detectee — 1 intrus, le plus proche a 9.17m"
17.600,info,9.333,"Intrusion detectee — 1 intrus, le plus proche a 9.33m"
17.700,info,9.500,"Intrusion detectee — 1 intrus, le plus proche a 9.50m"
17.800,info,9.667,"Intrusion detectee — 1 intrus, le plus proche a 9.67m"
17.900,info,9.833,"Intrusion detectee — 1 intrus, le plus proche a 9.83m"
18.000,info,10.000,"Intrusion detectee — 1 intrus, le plus proche a 10.00m"
18.100,info,,Intrusion resolue (attente confirmation)
18.200,info,,Intrusion resolue (attente confirmation)
18.300,info,,Intrusion resolue (attente confirmation)
18.400,info,,Intrusion resolue (attente confirmation)
18.500,info,,Intrusion resolue (attente confirmation)
18.600,info,,Intrusion resolue (attente confirmation)
18.700,info,,Intrusion resolue (attente confirmation)
18.800,info,,Intrusion resolue (attente confirmation)
18.900,info,,Intrusion resolue (attente confirmation)
19.000,nominal,,Aucune intrusion
19.100,nominal,,Aucune intrusion
19.200,nominal,,Aucune intrusion
19.300,nominal,,Aucune intrusion
19.400,nominal,,Aucune intrusion
19.500,nominal,,Aucune intrusion
19.600,nominal,,Aucune intrusion
19.700,nominal,,Aucune intrusion
19.800,nominal,,Aucune intrusion
19.900,nominal,,Aucune intrusion
20.000,nominal,,Aucune intrusion
20.100,nominal,,Aucune intrusion
20.200,nominal,,Aucune intrusion
20.300,nominal,,Aucune intrusion
20.400,nominal,,Aucune intrusion
20.500,nominal,,Aucune intrusion
20.600,nominal,,Aucune intrusion
20.700,nominal,,Aucune intrusion
20.800,nominal,,Aucune intrusion
20.900,nominal,,Aucune intrusion
21.000,nominal,,Aucune intrusion
21.100,nominal,,Aucune intrusion
21.200,nominal,,Aucune intrusion
21.300,nominal,,Aucune intrusion
21.400,nominal,,Aucune intrusion
21.500,nominal,,Aucune intrusion
21.600,nominal,,Aucune intrusion
21.700,nominal,,Aucune intrusion
21.800,nominal,,Aucune intrusion
21.900,nominal,,Aucune intrusion
